date,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
2019-12-27,70.06999206542969,0.0,0.0,0.0,0.0,0.0,329.0899963378906,17.6894588470459,0.0,0.0,-1790.6017456054688
2019-12-30,70.48584747314453,0.0,0.0,0.0,0.0,0.0,0.0,17.349660873413086,27.64666748046875,0.0,-1780.7296142578125
2019-12-31,71.00086975097656,0.0,0.0,0.0,0.0,0.0,0.0,17.572211265563965,27.8886661529541,0.0,-1785.0554809570312
2020-01-02,72.62085723876953,0.0,0.0,0.0,0.0,0.0,0.0,17.916481018066406,0.0,0.0,-1501.4579772949219
2020-01-03,71.91481018066406,0.0,0.0,0.0,0.0,0.0,0.0,17.62971067428589,0.0,0.0,-1788.1065673828125
2020-01-06,72.48784637451172,0.0,69.55794525146484,52.86376190185547,0.0,0.0,0.0,11.802430152893066,0.0,0.0,-2094.0822143554688
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.945318222045898,0.0,0.0,-2088.194549560547
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.967724800109863,0.0,0.0,-1799.4201049804688
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.049578666687012,0.0,0.0,-1811.6215209960938
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081940174102783,0.0,0.0,-1505.3402709960938
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1212.55419921875
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,338.69000244140625,0.0,0.0,0.0,-1210.7056884765625
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,339.07000732421875,0.0,34.56666564941406,0.0,-910.0814208984375
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,338.6199951171875,0.0,34.232666015625,0.0,-611.767822265625
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.03333282470703,0.0,-306.8359375
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-306.2350158691406
2020-01-22,0.0,0.0,0.0,0.0,0.0,157.8826446533203,0.0,6.226072311401367,0.0,0.0,-306.2720947265625
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,349.6000061035156,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,72.95968627929688,0.0,0.0,0.0,353.1600036621094,0.0,0.0,0.0,0.0
2020-01-27,0.0,91.41699981689453,142.49176025390625,57.94461441040039,0.0,0.0,0.0,0.0,0.0,49.8879508972168,299.0252380371094
2020-01-28,0.0,92.6624984741211,216.5397491455078,0.0,0.0,0.0,0.0,0.0,37.793331146240234,99.63720703125,302.1587829589844
2020-01-29,0.0,0.0,217.46530151367188,0.0,0.0,0.0,0.0,0.0,38.732666015625,98.80496978759766,0.0
2020-01-30,0.0,0.0,144.7330322265625,0.0,0.0,0.0,0.0,0.0,0.0,99.85297393798828,-302.8889465332031
2020-01-31,0.0,0.0,142.5962677001953,0.0,0.0,0.0,0.0,0.0,0.0,95.7380142211914,-297.3891296386719
2020-02-03,0.0,0.0,147.55453491210938,0.0,0.0,0.0,0.0,0.0,0.0,93.59578704833984,-599.1965942382812
2020-02-04,0.0,0.0,143.85324096679688,0.0,0.0,0.0,0.0,6.151890754699707,0.0,92.42449188232422,-304.16455078125
2020-02-05,77.72254180908203,0.0,71.95846557617188,0.0,0.0,0.0,0.0,6.242254257202148,0.0,48.33906936645508,-307.6770324707031
2020-02-06,0.0,102.5114974975586,146.8946990966797,0.0,0.0,0.0,0.0,6.329132556915283,0.0,95.36813354492188,-308.7123107910156
2020-02-07,0.0,103.96399688720703,147.20721435546875,58.52248764038086,0.0,0.0,0.0,0.0,49.871334075927734,47.368125915527344,0.0
2020-02-10,0.0,213.39100646972656,150.1481475830078,58.85047149658203,0.0,0.0,0.0,0.0,0.0,46.86786651611328,309.3594055175781
2020-02-11,0.0,215.0800018310547,150.28749084472656,119.50929260253906,0.0,0.0,0.0,0.0,0.0,47.31340789794922,0.0
2020-02-12,79.30058288574219,108.0,75.57020568847656,119.597900390625,0.0,0.0,0.0,0.0,0.0,47.89183044433594,-311.8920593261719
2020-02-13,78.73587799072266,0.0,150.61891174316406,59.78123474121094,0.0,175.04298400878906,0.0,0.0,0.0,47.626060485839844,-311.55938720703125
2020-02-14,78.7552719116211,0.0,75.5751724243164,119.2611083984375,0.0,176.60560607910156,0.0,0.0,0.0,47.407203674316406,-312.0584716796875
2020-02-18,77.31322479248047,0.0,75.61051177978516,58.62887954711914,0.0,178.39686584472656,0.0,0.0,0.0,46.80533218383789,-311.2542724609375
2020-02-19,78.43292236328125,0.0,75.8807144165039,0.0,0.0,0.0,0.0,7.833934783935547,0.0,0.0,0.0
2020-02-20,0.0,107.65499877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-311.4576416015625
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,380.07000732421875,0.0,0.0,0.0,-616.5003051757812
2020-02-24,0.0,100.4645004272461,0.0,0.0,0.0,0.0,368.70001220703125,0.0,0.0,44.053924560546875,-596.0540161132812
2020-02-25,0.0,98.63700103759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.36555099487305,-866.9883728027344
2020-02-26,0.0,98.97949981689453,0.0,0.0,0.0,0.0,379.239990234375,0.0,51.91999816894531,41.435394287109375,-575.8662109375
2020-02-27,0.0,188.42999267578125,0.0,0.0,0.0,0.0,0.0,0.0,45.266666412353516,38.94191360473633,-550.003173828125
2020-02-28,0.0,188.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.20819091796875,-547.6921997070312
2020-03-02,0.0,293.0925064086914,0.0,0.0,0.0,0.0,0.0,0.0,49.574668884277344,0.0,-285.70538330078125
2020-03-03,0.0,190.8990020751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,296.3744888305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-289.1901550292969
2020-03-05,0.0,288.60449981689453,0.0,50.491390228271484,0.0,0.0,0.0,0.0,0.0,0.0,-279.5770568847656
2020-03-06,0.0,190.10899353027344,0.0,98.87305450439453,0.0,0.0,0.0,0.0,0.0,0.0,-549.91064453125
