Date,AAPL,AMZN,GOOGL,INTC,META,MSFT,NFLX,NVDA,TSLA,XOM,SPY
2019-09-18,53.701744079589844,90.87300109863281,61.339237213134766,45.38962936401367,187.25746154785156,131.5373992919922,291.55999755859375,4.476999282836914,16.232667922973633,55.445648193359375,275.6851501464844
2019-09-19,53.26542663574219,91.07499694824219,61.64278793334961,45.24049377441406,189.24807739257812,133.9588165283203,286.6000061035156,4.401379585266113,16.440000534057617,55.07255935668945,275.6668395996094
2019-09-20,52.48678970336914,89.70800018310547,61.19940948486328,44.494815826416016,189.0390625,132.41098022460938,270.75,4.295661926269531,16.041332244873047,54.8822135925293,274.36431884765625
2019-09-23,52.725440979003906,89.26499938964844,61.440757751464844,44.652713775634766,185.94363403320312,132.1260986328125,265.9200134277344,4.349141597747803,16.082000732421875,54.920257568359375,274.2998962402344
2019-09-24,52.47472381591797,87.08049774169922,60.62664794921875,43.70528030395508,180.4296417236328,130.45484924316406,254.58999633789062,4.291681289672852,14.880666732788086,54.16649627685547,272.1475524902344
2019-09-25,53.28229904174805,88.41649627685547,62.000579833984375,44.75799560546875,181.94248962402344,132.33497619628906,264.75,4.433468818664551,15.24666690826416,54.32636642456055,273.75726318359375
2019-09-26,53.00748062133789,86.99199676513672,61.818946838378906,44.670265197753906,179.26513671875,132.50588989257812,263.30999755859375,4.4113311767578125,16.17066764831543,54.03704833984375,273.18701171875
2019-09-27,52.74953842163086,86.27249908447266,61.005836486816406,44.547447204589844,176.2692413330078,130.7871856689453,263.0799865722656,4.272528171539307,16.142000198364258,54.42536544799805,271.7152404785156
2019-09-30,53.99101257324219,86.79550170898438,60.766475677490234,45.20539855957031,177.24462890625,132.02163696289062,267.6199951171875,4.329989910125732,16.058000564575195,53.762935638427734,272.97540283203125
2019-10-01,54.14047622680664,86.78250122070312,60.01308059692383,44.5299072265625,174.9853057861328,130.16043090820312,269.5799865722656,4.328247547149658,16.312667846679688,52.499000549316406,269.728515625
2019-10-02,52.78329086303711,85.6614990234375,58.61576461791992,43.32805252075195,173.7809600830078,127.8624038696289,268.0299987792969,4.304368019104004,16.208667755126953,51.128475189208984,264.96380615234375
2019-10-03,53.23166275024414,86.22100067138672,59.18852615356445,43.889503479003906,178.53854370117188,129.41026306152344,268.1499938964844,4.51008415222168,15.535332679748535,51.76044464111328,267.1346130371094
2019-10-04,54.723846435546875,86.98249816894531,60.2598991394043,44.670265197753906,179.60353088378906,131.157470703125,272.7900085449219,4.526503086090088,15.428667068481445,52.51422119140625,270.7494201660156
2019-10-07,54.73590087890625,86.63300323486328,60.12504196166992,44.4070930480957,178.83714294433594,130.2079620361328,274.4599914550781,4.585206031799316,15.847999572753906,51.7908935546875,269.5812683105469
2019-10-08,54.09468078613281,85.27549743652344,59.22335433959961,43.62632751464844,176.9161834716797,128.8310089111328,270.7200012207031,4.408594131469727,16.003332138061523,50.78583908081055,265.39605712890625
2019-10-09,54.72867965698242,86.09950256347656,59.83393859863281,44.28428268432617,179.00634765625,131.27145385742188,267.5299987792969,4.495159149169922,16.302000045776367,51.34927749633789,267.9164123535156
2019-10-10,55.4663200378418,86.01300048828125,60.185752868652344,44.836952209472656,179.1855010986328,132.08810424804688,280.4800109863281,4.5528693199157715,16.31599998474121,51.96601486206055,269.728515625
